Player,Att,Cmp,Yd,TD,INT,CmpPct,YAtt,Att,Yd,Avg,TD,FL,FPTS
Derek Anderson,0,0,0,0,0,100.0,7.0,0,0,0.6,0,0,0
Geno Smith,0,0,0,0,0,63.1,5.0,0,0,7.2,0,0,0
Cooper Rush,0,0,0,0,0,68.8,8.1,0,0,7.0,0,0,0
Cody Kessler,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
C.J. Beathard,0,0,0,0,0,61.1,7.1,0,0,6.0,0,0,0
Austin Davis,0,0,0,0,0,100.0,8.0,0,0,5.2,0,0,0
Landry Jones,0,0,0,0,0,100.0,7.0,0,0,-0.9,0,0,0
Kevin Hogan,0,0,0,0,0,54.4,4.0,0,0,10.5,0,0,0
Jameill Showers,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Ryan Nassib,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Mike Glennon,0,0,1,0,0,100.0,8.0,0,0,1.3,0,0,0
Brandon Weeden,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Tom Savage,0,0,0,0,0,100.0,7.0,0,0,2.7,0,0,0
Connor Cook,0,0,0,0,0,100.0,6.0,0,0,4.0,0,0,0
Jimmy Garoppolo,0,0,0,0,0,64.3,4.0,0,0,-0.4,0,0,0
Sean Mannion,0,0,0,0,0,63.6,5.8,0,0,-2.4,0,0,0
Joshua Dobbs,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Jake Rudock,0,0,0,0,0,66.7,6.2,0,0,4.0,0,0,0
Cardale Jones,0,0,0,0,0,65.7,8.7,0,0,1.0,0,0,0
Brad Kaaya,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Kyle Sloter,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Drew Stanton,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Jeff Driskel,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Chad Henne,0,0,0,0,0,46.7,4.3,0,0,-0.1,0,0,0
Joe Webb,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Josh Woodrum,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Scott Tolzien,0,0,0,0,0,100.0,8.0,0,0,0.6,0,0,0
Christian Hackenberg,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Nick Foles,0,0,1,0,0,66.7,6.3,0,0,0.2,0,0,0
Kellen Clemens,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Brett Hundley,0,0,0,0,0,45.5,4.1,0,0,3.3,0,0,0
Taylor Heinicke,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Ryan Mallett,0,0,0,0,0,100.0,7.0,0,0,-0.1,0,0,0
Ryan Fitzpatrick,0,0,2,0,0,66.7,8.0,0,0,3.7,0,0,0
Patrick Mahomes,0,0,0,0,0,68.8,6.9,0,0,5.0,0,0,0
Case Keenum,0,0,2,0,0,66.7,7.3,0,0,2.6,0,0,0
AJ McCarron,0,0,1,0,0,50.0,6.5,0,0,2.0,0,0,0
Connor Shaw,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Nathan Peterman,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Brandon Allen,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Kellen Moore,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Mark Sanchez,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Ryan Griffin,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Blaine Gabbert,0,0,2,0,0,50.0,7.0,0,0,3.0,0,0,0
Matt Moore,0,0,1,0,0,50.0,7.0,0,0,0.2,0,0,0
