Player,Att,Cmp,Yd,TD,INT,CmpPct,YAtt,Att,Yd,Avg,TD,FL,FPTS
Case Keenum,0,0,2,0,0,66.7,8.3,0,0,2.5,0,0,0
Colt McCoy,0,0,0,0,0,59.5,8.1,0,0,0.7,0,0,0
AJ McCarron,0,0,1,0,0,50.0,7.5,0,0,2.0,0,0,0
Connor Shaw,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Nathan Peterman,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Brandon Allen,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Kellen Moore,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Mark Sanchez,0,0,0,0,0,58.2,4.0,0,0,1.4,0,0,0
Brock Osweiler,0,0,2,0,0,50.0,5.7,0,0,4.3,0,0,0
Blaine Gabbert,0,0,2,0,0,75.0,7.2,0,0,3.0,0,0,0
Matt Cassel,0,0,1,0,0,50.0,6.5,0,0,3.1,0,0,0
