Player,Att,Cmp,Yd,TD,INT,CmpPct,YAtt,Att,Yd,Avg,TD,FL,FPTS
Austin Davis,0,0,0,0,0,57.6,4.0,0,0,2.2,0,0,0
Landry Jones,0,0,0,0,0,100.0,9.0,0,0,-0.7,0,0,0
Kevin Hogan,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Jameill Showers,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Ryan Nassib,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Mike Glennon,0,0,1,0,0,100.0,11.0,0,0,1.2,0,0,0
Brandon Weeden,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Sean Mannion,0,0,0,0,0,64.3,6.1,0,0,-1.2,0,0,0
Joshua Dobbs,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Jake Rudock,0,0,0,0,0,65.0,7.4,0,0,3.0,0,0,0
David Fales,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Cardale Jones,0,0,0,0,0,60.6,7.5,0,0,1.0,0,0,0
Cam Newton,34,20,232,1,1,59.5,6.8,6,30,4.8,0,0,0
Jay Cutler,33,21,208,1,1,65.9,6.3,1,4,3.3,0,0,0
Joe Callahan,0,0,0,0,0,56.2,5.7,0,0,6.0,0,0,0
Matt Schaub,0,0,0,0,0,100.0,7.0,0,0,1.4,0,0,0
Brad Kaaya,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Kyle Sloter,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Jeff Driskel,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Chad Henne,0,0,0,0,0,40.0,4.6,0,0,-0.1,0,0,0
Joe Webb,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Josh Woodrum,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Scott Tolzien,0,0,0,0,0,100.0,7.0,0,0,0.6,0,0,0
Christian Hackenberg,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Garrett Gilbert,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Kellen Clemens,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Brian Hoyer,0,0,2,0,0,66.7,7.7,0,0,1.3,0,0,0
Taysom Hill,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Taylor Heinicke,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Matt Simms,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Colt McCoy,0,0,0,0,0,61.1,7.1,0,0,0.5,0,0,0
AJ McCarron,0,0,1,0,0,50.0,7.0,0,0,1.6,0,0,0
Connor Shaw,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Nathan Peterman,0,0,0,0,0,60.0,6.7,0,0,4.0,0,0,0
Matt McGloin,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Brandon Allen,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Kellen Moore,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Mark Sanchez,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Ryan Griffin,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Matt Moore,0,0,1,0,0,66.7,5.3,0,0,-0.2,0,0,0
Matt Cassel,0,0,1,0,0,50.0,7.0,0,0,4.0,0,0,0
Blaine Gabbert,1,0,9,0,0,50.0,5.9,0,1,3.7,0,0,-0.2
